Parameters:
K = 928
cycle = 18
D1 = 526102
D2 = 633155
alpha_rep1 = 0.01853472
alpha_rep2 = 0.01361968
log_likelihood_rep1 = 379.655303
log_likelihood_rep2 = 1017.662700
convergence_rep1 = 0
convergence_rep2 = 0

Species	N_rep1	r_rep1	N_rep2	r_rep2
1	73021201.211932	0.87874047	73077366.521626	0.87934357
2	5512.239070	0.00006633	2053.209718	0.00002471
3	192928.367501	0.00232171	204847.154328	0.00246494
4	97889.762820	0.00117801	101239.033094	0.00121821
5	41056.677220	0.00049408	44696.796201	0.00053784
6	570.231626	0.00000686	4580.237064	0.00005511
7	46949.070711	0.00056499	45486.492247	0.00054734
8	32123.048381	0.00038657	38695.106251	0.00046562
9	7032.856745	0.00008463	8212.838877	0.00009883
10	24519.960006	0.00029507	13266.893571	0.00015964
11	75080.497697	0.00090352	69809.130464	0.00084002
12	111195.167476	0.00133813	114821.805085	0.00138166
13	315338.090331	0.00379479	305138.552169	0.00367175
14	3041.235348	0.00003660	1105.574462	0.00001330
15	13305.404654	0.00016012	12003.379897	0.00014444
16	144078.524695	0.00173385	144514.376415	0.00173895
17	106823.391660	0.00128552	81496.631944	0.00098065
18	17867.257679	0.00021502	9634.291759	0.00011593
19	13115.327445	0.00015783	19426.522729	0.00023376
20	88575.979561	0.00106593	69335.312836	0.00083432
21	74130.111650	0.00089209	104713.695697	0.00126003
22	22809.265122	0.00027449	24164.699005	0.00029078
23	259265.313569	0.00312001	252544.795506	0.00303888
24	128492.193527	0.00154628	94763.525517	0.00114029
25	73179.725603	0.00088065	72494.097020	0.00087233
26	5892.393489	0.00007091	6001.689948	0.00007222
27	3041.235348	0.00003660	473.817625	0.00000570
28	91617.214911	0.00110253	87498.321894	0.00105287
29	92377.523749	0.00111168	69651.191254	0.00083812
30	65386.560019	0.00078686	64755.075769	0.00077920
31	77931.655837	0.00093783	94131.768680	0.00113269
32	127731.884690	0.00153713	132668.935725	0.00159641
33	16156.562794	0.00019443	31587.841838	0.00038010
34	11404.632560	0.00013724	9002.534922	0.00010833
35	182284.043777	0.00219361	217166.412646	0.00261317
36	161945.782375	0.00194886	148620.795854	0.00178836
37	166887.789819	0.00200834	167731.440167	0.00201832
38	17867.257679	0.00021502	17373.313010	0.00020905
39	2280.926511	0.00002745	1737.331300	0.00002091
40	74320.188859	0.00089437	91604.741333	0.00110228
41	18437.489307	0.00022188	18952.705102	0.00022806
42	112715.785151	0.00135643	104871.634906	0.00126193
43	115566.943291	0.00139074	91446.802124	0.00110038
44	33263.511637	0.00040029	23848.820587	0.00028697
45	16156.562794	0.00019443	7739.021249	0.00009312
46	266678.324734	0.00320922	283342.941300	0.00340948
47	22429.110703	0.00026991	13108.954362	0.00015774
48	43717.758152	0.00052610	52751.695870	0.00063476
49	11214.555351	0.00013496	21005.914821	0.00025277
50	15586.331166	0.00018757	28902.875281	0.00034779
51	4561.853023	0.00005490	5369.933111	0.00006462
52	32123.048381	0.00038657	53225.513498	0.00064047
53	55692.622342	0.00067021	46592.066711	0.00056064
54	10834.400932	0.00013038	10739.866223	0.00012923
55	23189.419541	0.00027906	7739.021249	0.00009312
56	16536.717213	0.00019900	14688.346453	0.00017675
57	7793.165582	0.00009378	3158.784182	0.00003801
58	4561.853023	0.00005490	9792.230968	0.00011783
59	7413.011163	0.00008921	1737.331300	0.00002091
60	180953.503311	0.00217760	185420.631597	0.00223118
61	1140.463255	0.00001372	1579.392090	0.00001900
62	18437.489306	0.00022188	9318.413341	0.00011213
63	16156.562794	0.00019443	25586.151888	0.00030788
64	7793.165583	0.00009378	3632.601809	0.00004371
65	132863.969343	0.00159889	161571.811008	0.00194420
66	107773.777707	0.00129695	72967.914648	0.00087803
67	54552.159085	0.00065648	55120.784008	0.00066327
68	70138.490253	0.00084405	60174.838702	0.00072409
69	34023.820474	0.00040944	23690.881378	0.00028507
70	26800.886519	0.00032252	38221.288624	0.00045992
71	88005.747933	0.00105907	85287.172965	0.00102626
72	5322.161861	0.00006405	7896.960458	0.00009502
73	52651.386992	0.00063361	36641.896532	0.00044091
74	4751.930233	0.00005718	4422.297856	0.00005321
75	5322.161861	0.00006405	7896.960458	0.00009502
76	116707.406547	0.00140446	117822.650060	0.00141777
77	93327.909795	0.00112311	103134.303604	0.00124102
78	13685.559072	0.00016469	7739.021249	0.00009312
79	4371.775814	0.00005261	7739.021249	0.00009312
80	19007.720935	0.00022874	25270.273470	0.00030408
81	3041.235348	0.00003660	1579.392090	0.00001900
82	3801.544186	0.00004575	1737.331300	0.00002091
83	1140.463255	0.00001372	473.817625	0.00000570
84	93898.141423	0.00112997	100133.458630	0.00120491
85	17677.180469	0.00021273	20847.975612	0.00025086
86	22048.956284	0.00026534	29534.632118	0.00035539
87	79642.350721	0.00095842	100923.154676	0.00121441
88	40486.445593	0.00048722	48645.276431	0.00058535
89	3041.235348	0.00003660	473.817625	0.00000570
90	37445.210243	0.00045062	33956.929976	0.00040861
91	32123.048381	0.00038657	26691.726353	0.00032118
92	58543.780482	0.00070452	40590.376762	0.00048843
93	6462.625117	0.00007777	4422.297856	0.00005321
94	7793.165583	0.00009378	22269.428495	0.00026797
95	20908.493028	0.00025161	9002.534922	0.00010833
96	37065.055824	0.00044604	20847.975612	0.00025086
97	8363.397211	0.00010065	18163.009056	0.00021856
98	3421.389767	0.00004117	2211.148926	0.00002661
99	2851.158139	0.00003431	3632.601810	0.00004371
100	19577.952563	0.00023560	34904.565231	0.00042001
101	47709.379548	0.00057414	14688.346453	0.00017675
102	32123.048381	0.00038657	17689.191428	0.00021285
103	2851.158139	0.00003431	631.756836	0.00000760
104	4942.007442	0.00005947	3316.723393	0.00003991
105	44478.066989	0.00053525	40432.437553	0.00048653
106	6652.702326	0.00008006	947.635255	0.00001140
107	33263.511637	0.00040029	22743.246123	0.00027367
108	2090.849302	0.00002516	473.817625	0.00000570
109	2090.849302	0.00002516	1895.270508	0.00002281
110	3231.312558	0.00003889	631.756834	0.00000760
111	60634.629785	0.00072968	68229.738372	0.00082101
112	9693.937676	0.00011666	10897.805433	0.00013113
113	53601.773039	0.00064505	53067.574289	0.00063856
114	33263.511637	0.00040029	33956.929976	0.00040861
115	8553.474420	0.00010293	8528.717295	0.00010263
116	9503.860466	0.00011437	3316.723392	0.00003991
117	20148.184191	0.00024246	29534.632118	0.00035539
118	20908.493028	0.00025161	34272.808394	0.00041241
119	33263.511637	0.00040029	34746.626022	0.00041811
120	2090.849302	0.00002516	1579.392091	0.00001900
121	5512.239070	0.00006633	631.756836	0.00000760
122	2090.849302	0.00002516	3158.784182	0.00003801
123	29271.890240	0.00035226	33483.112348	0.00040290
124	11024.478141	0.00013267	1263.513672	0.00001520
125	49800.228851	0.00059930	40906.255180	0.00049223
126	5512.239070	0.00006633	8528.717295	0.00010263
127	11024.478141	0.00013267	8370.778086	0.00010073
128	7413.011163	0.00008921	4580.237065	0.00005511
129	85154.589793	0.00102475	98712.005747	0.00118781
130	52461.309782	0.00063132	40748.315971	0.00049033
131	34974.206521	0.00042088	39168.923879	0.00047132
132	21478.724656	0.00025848	24006.759796	0.00028887
133	950.386046	0.00001144	1895.270508	0.00002281
134	35544.438149	0.00042774	28744.936072	0.00034589
135	31362.739543	0.00037742	32377.537884	0.00038960
136	4751.930233	0.00005718	473.817625	0.00000570
137	12355.018607	0.00014868	17689.191428	0.00021285
138	5132.084652	0.00006176	3474.662601	0.00004181
139	43337.603733	0.00052153	37115.714159	0.00044662
